Tank,O2.mgL,TempC,date,time,phase,weather,air temp,week,sensor
28,8.6,28.5,29-Jun,9:50,dusk,,,3,OG
29,8.6,25.8,29-Jun,9:50,dusk,,,3,OG
30,8.6,22,29-Jun,9:50,dusk,,,3,OG
1,8,28.6,06-Jul,,dawn1,clear,19,4,OG
2,7.5,21.7,06-Jul,,dawn1,clear,19,4,OG
3,8,27.6,06-Jul,,dawn1,clear,19,4,OG
4,8,26.7,06-Jul,,dawn1,clear,19,4,OG
5,7.7,28.1,06-Jul,,dawn1,clear,19,4,OG
6,8.6,24.5,06-Jul,,dawn1,clear,19,4,OG
7,9.1,22.2,06-Jul,,dawn1,clear,19,4,OG
8,6.9,29.8,06-Jul,,dawn1,clear,19,4,OG
9,8.3,23.7,06-Jul,,dawn1,clear,19,4,OG
10,7.3,28.7,06-Jul,,dawn1,clear,19,4,OG
11,8.2,21.6,06-Jul,,dawn1,clear,19,4,OG
12,9,21,06-Jul,,dawn1,clear,19,4,OG
13,7.8,28.2,06-Jul,,dawn1,clear,19,4,OG
14,8,25.7,06-Jul,,dawn1,clear,19,4,OG
15,7.8,27,06-Jul,,dawn1,clear,19,4,OG
16,8,28.4,06-Jul,,dawn1,clear,19,4,OG
17,8.9,21.7,06-Jul,,dawn1,clear,19,4,OG
18,8.1,26.4,06-Jul,,dawn1,clear,19,4,OG
19,9.1,20.5,06-Jul,,dawn1,clear,19,4,OG
20,8.1,23.8,06-Jul,,dawn1,clear,19,4,OG
21,7.3,28.4,06-Jul,,dawn1,clear,19,4,OG
22,7.1,30,06-Jul,,dawn1,clear,19,4,OG
23,8,26.9,06-Jul,,dawn1,clear,19,4,OG
24,7.6,28.1,06-Jul,,dawn1,clear,19,4,OG
25,8.7,25.3,06-Jul,,dawn1,clear,19,4,OG
26,9,20.5,06-Jul,,dawn1,clear,19,4,OG
27,8.4,24.6,06-Jul,,dawn1,clear,19,4,OG
28,7.6,30.1,06-Jul,,dawn1,clear,19,4,OG
29,8.4,27.1,06-Jul,,dawn1,clear,19,4,OG
30,9,22.3,06-Jul,,dawn1,clear,19,4,OG
1,7.1,24.8,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
2,6.8,21.8,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
3,7.2,25,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
4,7.6,25.4,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
5,7,26.5,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
6,8,24.4,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
7,8.7,22.6,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
8,6.6,27.2,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
9,8.3,23.7,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
10,7,26.9,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
11,8.1,22.2,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
12,8.8,21.5,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
13,7.6,26.3,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
14,7.9,24.9,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
15,7.8,25.7,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
16,7.8,26.8,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
17,8.6,22.3,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
18,8.1,25.7,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
19,8.9,21.3,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
20,8.4,23.4,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
21,7.7,27.2,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
22,7.3,28.7,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
23,7.8,26.6,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
24,8,27.3,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
25,8.5,25.3,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
26,8.8,21.5,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
27,8.4,24.2,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
28,7.4,28.2,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
29,8,26.4,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
30,8.6,22.9,07-Jul,4:35,dawn2,slight overcast,14.9,4,OG
1,7.9,29.9,06-Jul,9:50,dusk,clear,22,4,OG
2,7.9,25.9,06-Jul,9:50,dusk,clear,22,4,OG
3,8.2,29.7,06-Jul,9:50,dusk,clear,22,4,OG
4,8.6,30.5,06-Jul,9:50,dusk,clear,22,4,OG
5,8.4,30.7,06-Jul,9:50,dusk,clear,22,4,OG
6,9.4,28.2,06-Jul,9:50,dusk,clear,22,4,OG
7,9.9,32.1,06-Jul,9:50,dusk,clear,22,4,OG
8,7.8,31.2,06-Jul,9:50,dusk,clear,22,4,OG
9,9.2,28.2,06-Jul,9:50,dusk,clear,22,4,OG
10,8.2,31.2,06-Jul,9:50,dusk,clear,22,4,OG
11,9,26,06-Jul,9:50,dusk,clear,22,4,OG
12,9.6,25.3,06-Jul,9:50,dusk,clear,22,4,OG
13,8.8,30.6,06-Jul,9:50,dusk,clear,22,4,OG
14,8.8,29.1,06-Jul,9:50,dusk,clear,22,4,OG
15,8.7,30.1,06-Jul,9:50,dusk,clear,22,4,OG
16,8.6,30.7,06-Jul,9:50,dusk,clear,22,4,OG
17,9.4,25.6,06-Jul,9:50,dusk,clear,22,4,OG
18,9.1,29.4,06-Jul,9:50,dusk,clear,22,4,OG
19,9.6,24.8,06-Jul,9:50,dusk,clear,22,4,OG
20,9.2,26.6,06-Jul,9:50,dusk,clear,22,4,OG
21,8.6,30.2,06-Jul,9:50,dusk,clear,22,4,OG
22,8.3,32.2,06-Jul,9:50,dusk,clear,22,4,OG
23,8.7,29.9,06-Jul,9:50,dusk,clear,22,4,OG
24,8.9,30.3,06-Jul,9:50,dusk,clear,22,4,OG
25,9.4,28.7,06-Jul,9:50,dusk,clear,22,4,OG
26,9.5,24.8,06-Jul,9:50,dusk,clear,22,4,OG
27,9.1,27.5,06-Jul,9:50,dusk,clear,22,4,OG
28,8.3,31,06-Jul,9:50,dusk,clear,22,4,OG
29,8.9,29.5,06-Jul,9:50,dusk,clear,22,4,OG
30,9.3,26.1,06-Jul,9:50,dusk,clear,22,4,OG
1,6.96,28.6,13-Jul,4:40,dawn1,cloudy,18.5,5,YSI
2,8.44,20.6,13-Jul,4:40,dawn1,cloudy,18.5,5,YSI
